query_id,doc_id,score,relevance
Q1005590,D59529,2.3496359622213303,0
Q1005590,D3043577,2.3496359622213303,1
Q1005590,D3191333,2.3496359622213303,0
Q1005590,D4461925,2.3496359622213303,0
Q1005590,D31255,2.3496359622213303,0
Q1005590,D4985284,2.3496359622213303,0
Q1005590,D51187,2.3496359622213303,0
Q1005590,D537926,2.3496359622213303,0
Q1005590,D2136220,2.3496359622213303,0
Q1005590,D17061,2.3496359622213303,0
Q1005590,D5641487,2.3496359622213303,0
Q1005590,D3936374,2.347887342314253,0
Q1005590,D1747370,2.347887342314253,0
Q1005590,D1006730,2.347887342314253,0
Q1005590,D2002896,2.345708685815127,0
Q1005590,D3936372,2.345708685815127,0
Q1005590,D6052692,2.345708685815127,0
Q1005590,D6367115,2.345708685815127,0
Q1005590,D1396502,2.345708685815127,0
Q1005590,D1777267,2.345708685815127,0
Q1005590,D1944025,2.345708685815127,0
Q1005590,D3043571,2.3439600659080497,1
Q1005590,D42733,2.3361806139381374,0
Q1005590,D19148,2.327582277787911,0
Q1005590,D17063,2.3249747731045076,0
Q1007509,D10107,2.3496359622213303,0
Q1007509,D8178325,2.3496359622213303,0
Q1007509,D10111,2.347887342314253,0
Q1007509,D54560,2.347887342314253,0
Q1007509,D22264,2.3434445269944133,0
Q1007509,D32397,2.3361806139381374,0
Q1007509,D62802,2.3361806139381374,0
Q1007509,D627359,2.3232261531974303,0
Q1007509,D1728444,2.315446701227518,0
Q1007509,D5491905,2.315446701227518,0
Q1007509,D620492,2.3055690615234505,0
Q1007509,D6114684,2.3016126316428704,0
Q1007509,D12364,2.296604405124944,0
Q1007509,D5357961,2.216023044841799,0
Q1007509,D57863,2.2098767647305038,0
Q1007509,D23362,2.200869752226598,0
Q1007509,D1640660,2.19412827601916,0
Q1007509,D6636947,2.189740560119232,0
Q1007509,D138012,2.1809199443103147,0
Q1007509,D5997959,2.1663221195554225,0
Q1007509,D697304,2.1592657584091643,0
