query_id,doc_id,score,relevance
Q1005590,D6280902,16.786041877157345,0
Q1005590,D59529,15.106895728585334,0
Q1005590,D6280904,15.03267255724604,0
Q1005590,D5553630,14.278193554343483,0
Q1005590,D46655,13.650186060660399,0
Q1005590,D1747373,13.317690977785839,0
Q1005590,D941341,13.092614860867117,0
Q1005590,D2002896,12.834549553175636,0
Q1005590,D3043577,12.834549553175636,1
Q1005590,D3936372,12.834549553175636,0
Q1005590,D3191333,12.585589243896619,0
Q1005590,D6052692,12.398578047702419,0
Q1005590,D46646,12.131207050781903,0
Q1005590,D42732,12.038837647457411,0
Q1005590,D4461925,11.92655063314446,0
Q1005590,D47595,11.78987733817839,0
Q1005590,D46649,11.781116606649327,0
Q1005590,D31255,11.584158943354822,0
Q1005590,D47598,11.53181203048691,0
Q1005590,D4985284,11.53181203048691,0
Q1005590,D1624904,11.090646473082236,0
Q1005590,D204967,11.090646473082236,0
Q1005590,D17063,11.038299560214323,0
Q1005590,D51187,11.019592361584955,0
Q1005590,D5282880,11.007437703061038,0
Q1007509,D3086781,6.128603444919078,1
Q1007509,D1006966,5.890476869982377,0
Q1007509,D19160,5.550617916959169,0
Q1007509,D6747679,5.550617916959169,0
Q1007509,D5591927,5.476770503755979,0
Q1007509,D10111,5.288953099627028,0
Q1007509,D6114684,5.21034725162776,0
Q1007509,D226285,5.1569708046767655,0
Q1007509,D3668760,5.1569708046767655,0
Q1007509,D57863,5.033725318378709,0
Q1007509,D61725,5.033725318378709,0
Q1007509,D5668270,5.033725318378709,0
Q1007509,D5997959,5.012515319858533,0
Q1007509,D10107,4.98701591043745,0
Q1007509,D54560,4.774032477717179,0
Q1007509,D620492,4.774032477717179,0
Q1007509,D2268651,4.731788129189131,0
Q1007509,D2139654,4.7105781306689565,0
Q1007509,D976901,4.7105781306689565,0
Q1007509,D6636947,4.7105781306689565,0
Q1007509,D18137,4.5974105444681275,0
Q1007509,D29817,4.5974105444681275,0
Q1007509,D35550,4.559570152817901,0
Q1007509,D12364,4.295473355278551,0
Q1007509,D32281,4.295473355278551,0
Q1007665,D5397566,9.092749607168624,1
Q1007665,D5192954,8.739168864188773,0
Q1007665,D855249,8.060928295733113,0
Q1007665,D6994502,7.740025292724007,0
Q1007665,D855258,7.129112506300708,0
Q1007665,D5192960,7.018153450514131,0
Q1007665,D3197,6.471194830176181,0
Q1007665,D3198,6.471194830176181,0
Q1007665,D5095038,6.440159922959933,0
Q1007665,D2197505,6.412265013007492,0
Q1007665,D18193,6.210324296102463,0
Q1007665,D603532,6.055302753865478,0
Q1007665,D56620,5.865306392669542,0
Q1007665,D5490920,5.865306392669542,0
Q1007665,D7772,5.754347336882965,0
Q1007665,D20889,5.744466441478872,0
Q1007665,D56621,5.703204941426047,0
Q1007665,D3371,5.59318290970153,0
Q1007665,D2041157,5.59318290970153,0
Q1007665,D3194,5.5922458856394694,0
Q1007665,D37525,5.5922458856394694,0
Q1007665,D2310062,5.5301499563990815,0
Q1007665,D3639419,5.5301499563990815,0
Q1007665,D7764,5.207388716545015,0
Q1007665,D4478555,5.207388716545015,0
Q1009774,D7862,10.061565189295578,0
Q1009774,D13768,9.922518525810926,0
Q1009774,D5892328,9.850766157807696,0
Q1009774,D819771,9.751383358958725,1
Q1009774,D13763,9.66539735574862,0
Q1009774,D13760,9.3629635209129,0
Q1009774,D2712742,9.133220751289954,0
Q1009774,D13767,8.757995781037245,0
Q1009774,D2356363,8.689890896666288,0
Q1009774,D3226733,8.681488306382727,0
Q1009774,D5422957,8.615580977956487,0
Q1009774,D13769,7.9511859377885274,0
Q1009774,D13761,7.879738662073473,0
Q1009774,D4228775,7.87165899597472,1
Q1009774,D6409898,7.815660724150552,0
Q1009774,D55548,7.7006454288749016,0
Q1009774,D13766,7.436408807449807,0
Q1009774,D18219,7.382151350771783,0
Q1009774,D819774,7.382151350771783,0
Q1009774,D5327675,7.36676853316588,0
Q1009774,D59712,7.272087234453257,0
Q1009774,D5137809,7.120754983269242,0
Q1009774,D6629262,7.117914729346687,0
Q1009774,D64326,6.936756469050581,0
Q1009774,D18222,6.933259159787109,0
Q1010578,D617599,6.449924534828208,0
Q1010578,D3353515,5.787747417287871,0
Q1010578,D4185041,5.682277086376956,0
Q1010578,D5281901,5.682277086376956,1
Q1010578,D6918161,5.583421425378962,0
Q1010578,D2160469,5.277414326511325,0
Q1010578,D2155843,5.122891232860036,0
Q1010578,D21136,5.0730883346024145,0
Q1010578,D5935561,5.0730883346024145,0
Q1010578,D828,5.047582584238517,0
Q1010578,D30751,5.047582584238517,0
Q1010578,D53178,5.047582584238517,0
Q1010578,D617592,5.047582584238517,0
Q1010578,D12744,4.948726923240523,0
Q1010578,D298326,4.948726923240523,0
Q1010578,D3781,4.809666315628846,0
Q1010578,D10755,4.809666315628846,0
Q1010578,D27560,4.809666315628846,0
Q1010578,D55604,4.809666315628846,0
Q1010578,D10009,4.708731608531233,0
Q1010578,D27382,4.708731608531233,0
Q1010578,D40135,4.708731608531233,0
Q1010578,D27558,4.58809147981332,0
Q1010578,D3903,4.4383938324639765,0
Q1010578,D21131,4.4383938324639765,0
Q1010668,D15872,16.74728529013077,0
Q1010668,D3721441,13.370509364663862,1
Q1010668,D5286086,13.246140904384157,0
Q1010668,D15876,11.623439581478387,0
Q1010668,D15873,11.07934245870521,0
Q1010668,D15877,11.037521757077906,0
Q1010668,D15878,10.756888611258143,0
Q1010668,D15874,10.621806444861685,0
Q1010668,D15871,10.319889559545192,0
Q1010668,D27557,10.28194872195831,0
Q1010668,D15870,10.275446730493842,0
Q1010668,D3116986,10.275446730493842,1
Q1010668,D7565929,9.94564309502611,0
Q1010668,D15875,9.904174247328971,0
Q1010668,D27558,9.60202663314431,0
Q1010668,D6673746,9.577035892981876,0
Q1010668,D3353515,9.475541858697865,0
Q1010668,D253024,8.970932960380985,0
Q1010668,D6673747,8.858969540403814,0
Q1010668,D2789,8.753622338024737,0
Q1010668,D47348,8.62541384662375,0
Q1010668,D2160469,8.596059647841,0
Q1010668,D607681,8.583944998926615,0
Q1010668,D408089,8.32300932615279,0
Q1010668,D27554,8.303311853106852,0
Q101416,D4398865,12.92259996033528,1
Q101416,D2019581,11.807351469362334,1
Q101416,D2179355,11.765776094722607,0
Q101416,D1834742,11.312034980154523,0
Q101416,D61593,11.248962266980715,0
Q101416,D1908334,10.931352947066323,0
Q101416,D1908335,10.653729615048864,0
Q101416,D61589,10.017136072330905,0
Q101416,D32419,9.762458255198723,0
Q101416,D2686504,9.472731265110378,0
Q101416,D2179352,9.314069148037017,0
Q101416,D15956,9.071252463595536,0
Q101416,D5457025,8.484824077274132,0
Q101416,D17182,8.45658267776603,0
Q101416,D12861,8.352559430440927,0
Q101416,D15950,8.352559430440927,0
Q101416,D12857,8.198205716703297,0
Q101416,D12859,8.198205716703297,0
Q101416,D15957,8.111667175312679,0
Q101416,D17183,7.989507588066319,0
Q101416,D17185,7.920582384685838,0
Q101416,D32424,7.920582384685838,0
Q101416,D1127224,7.817523683615096,0
Q101416,D61594,7.7847503438927745,0
Q101416,D12858,7.695364096368735,0
Q1015348,D31118,9.499384786923136,0
Q1015348,D9773,9.004437121975338,0
Q1015348,D60108,7.589495941519665,0
Q1015348,D60116,7.520955268981004,0
Q1015348,D29563,7.385178276652782,0
Q1015348,D37358,7.330936277109782,0
Q1015348,D23649,7.211016368201496,0
Q1015348,D60115,7.044234268142995,0
Q1015348,D37366,6.873398657133096,0
Q1015348,D711366,6.690732497312411,0
Q1015348,D20923,6.66583952216846,0
Q1015348,D10061,6.647612858058672,0
Q1015348,D27538,6.647612858058672,0
Q1015348,D37359,6.594095967659982,0
Q1015348,D37357,6.438598763033228,0
Q1015348,D27534,6.420372098923441,0
Q1015348,D27537,6.379137513201672,0
Q1015348,D37360,6.3486285444149635,0
Q1015348,D37362,6.328221811100059,0
Q1015348,D51773,6.193131339788211,0
Q1015348,D50517,5.921983608749182,0
Q1015348,D1226078,5.8492439040247035,0
Q1015348,D20922,5.773502008091906,0
Q1015348,D31114,5.652825318320074,0
Q1015348,D2632973,5.632029137632443,0
Q1016695,D6130603,9.35256297037312,1
Q1016695,D309850,5.85023529811043,0
Q1016695,D5462667,5.726712032907698,0
Q1016695,D2239530,5.641298447997599,0
Q1016695,D2085996,5.547798190570116,0
Q1016695,D309849,5.547798190570116,0
Q1016695,D26216,5.46417659639781,0
Q1016695,D246623,5.388458363104302,0
Q1016695,D3712453,5.371176257321064,0
Q1016695,D1414,5.162239407208234,0
Q1016695,D1559259,5.162239407208234,0
Q1016695,D3060334,5.162239407208234,0
Q1016695,D60041,5.086021255563988,0
Q1016695,D634781,5.086021255563988,0
Q1016695,D609883,5.069239068131488,0
Q1016695,D3906527,5.06873914978075,0
Q1016695,D4264161,5.06873914978075,0
Q1016695,D791103,5.05195696234825,0
Q1016695,D4979640,5.05195696234825,0
Q1016695,D1388967,4.909399322314936,0
Q1016695,D3213948,4.909399322314936,0
Q1016695,D29065,4.892117216531698,0
Q1016695,D3582065,4.892117216531698,0
Q1016695,D4444770,4.892117216531698,0
Q1016695,D5563658,4.892117216531698,0
Q101814,D3051336,7.985508036969353,0
Q101814,D5576465,6.609333855936461,1
Q101814,D18995,6.472999199057321,0
Q101814,D43659,6.200397995580243,0
Q101814,D5299593,5.986716693755993,0
Q101814,D304967,5.983750405636567,0
Q101814,D7389,5.8544520469227885,0
Q101814,D5339583,5.774505550305905,0
Q101814,D271089,5.748326823590055,0
Q101814,D18089,5.689725551813664,0
Q101814,D18990,5.614002400768222,0
Q101814,D12032,5.476044249989414,0
Q101814,D18993,5.449602593834975,0
Q101814,D5515239,5.449602593834975,0
Q101814,D2954371,5.4300941004472705,0
Q101814,D61724,5.39459190779875,0
Q101814,D18992,5.308678154936741,0
Q101814,D5265347,5.237654379823478,0
Q101814,D28834,5.197562405155864,0
Q101814,D47944,5.034332663214008,0
Q101814,D1333,4.981914011491114,0
Q101814,D3919,4.9732026296548515,0
Q101814,D3922,4.9732026296548515,0
Q101814,D18991,4.938930150068396,0
Q101814,D1624904,4.938930150068396,0
Q1018932,D5307717,8.481509725863912,1
Q1018932,D21012,7.3964003473763515,0
Q1018932,D52760,6.261073316204337,0
Q1018932,D61377,6.238209307643498,0
Q1018932,D10693,5.954485715896551,0
Q1018932,D11860,5.855254192621398,0
Q1018932,D58926,5.784537855707779,0
Q1018932,D50166,5.745439580014001,0
